192,152,21,4.62
152,112,43,4.62
192,153,46,3.03
192,151,46,3.03
192,193,60,1.65
192,191,60,1.65
112,72,65,4.62
151,111,68,4.62
153,113,68,4.62
152,113,68,3.03
152,111,68,3.03
72,32,87,4.62
111,71,90,4.62
113,73,90,4.62
112,73,90,3.03
112,71,90,3.03
151,110,93,3.03
153,114,93,3.03
192,232,99,1.01
191,150,107,3.03
193,154,107,3.03
151,150,107,1.65
153,154,107,1.65
71,31,112,4.62
72,33,112,3.03
72,31,112,3.03
73,33,112,4.62
110,70,115,4.62
114,74,115,4.62
111,70,115,3.03
113,74,115,3.03
191,190,121,1.65
193,194,121,1.65
192,233,125,1.14
192,231,125,1.14
70,30,137,4.62
71,30,137,3.03
73,34,137,3.03
74,34,137,4.62
110,69,140,3.03
114,75,140,3.03
154,115,154,3.03
110,109,154,1.65
114,115,154,1.65
150,109,154,3.03
69,29,162,4.62
70,29,162,3.03
75,35,162,4.62
74,35,162,3.03
190,149,168,3.03
194,155,168,3.03
154,155,168,1.65
150,149,168,1.65
190,189,182,1.65
194,195,182,1.65
231,230,186,1.65
233,234,186,1.65
191,230,186,1.14
193,234,186,1.14
69,28,187,3.03
75,36,187,3.03
232,272,199,1.01
109,68,201,3.03
69,68,201,1.65
115,76,201,3.03
75,76,201,1.65
155,116,215,3.03
149,108,215,3.03
109,108,215,1.65
115,116,215,1.65
231,271,225,1.01
233,273,225,1.01
232,273,225,1.14
232,271,225,1.14
189,148,229,3.03
195,156,229,3.03
155,156,229,1.65
149,148,229,1.65
189,188,243,1.65
195,196,243,1.65
230,229,247,1.65
234,235,247,1.65
190,229,247,1.14
194,235,247,1.14
68,27,248,3.03
28,27,248,1.65
36,37,248,1.65
76,37,248,3.03
231,270,251,1.14
233,274,251,1.14
108,67,262,3.03
68,67,262,1.65
116,77,262,3.03
76,77,262,1.65
156,117,276,3.03
148,107,276,3.03
108,107,276,1.65
116,117,276,1.65
188,147,290,3.03
196,157,290,3.03
156,157,290,1.65
148,147,290,1.65
272,312,299,1.01
