ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,353478,39348,0,0.900,0.100,0.000
2,340668,52158,0,0.867,0.133,0.000
3,382287,10539,0,0.973,0.027,0.000
4,323937,68889,0,0.825,0.175,0.000
5,392805,21,0,1.000,0.000,0.000
