,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5.000,5.000,5.000,5.000,5.000,5.000,5.000
mean,3.000,358635.000,34191.000,0.000,0.913,0.087,0.000
std,1.581,28637.235,28637.235,0.000,0.073,0.073,0.000
min,1.000,323937.000,21.000,0.000,0.825,0.000,0.000
25%,2.000,340668.000,10539.000,0.000,0.867,0.027,0.000
50%,3.000,353478.000,39348.000,0.000,0.900,0.100,0.000
75%,4.000,382287.000,52158.000,0.000,0.973,0.133,0.000
max,5.000,392805.000,68889.000,0.000,1.000,0.175,0.000
