ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,309879,1,0,1.000,0.000,0.000
1,2,305714,4166,0,0.987,0.013,0.000
1,3,293050,16830,0,0.946,0.054,0.000
1,4,270371,39509,0,0.873,0.127,0.000
1,5,243809,66071,0,0.787,0.213,0.000
1,6,217455,92425,0,0.702,0.298,0.000
1,7,204459,105421,0,0.660,0.340,0.000
1,8,190198,119682,0,0.614,0.386,0.000
