Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,309879.000,1.000,0.000,,,309879,1,309879,1,1.000,0.000,0.000
2,305714.000,4166.000,0.000,,,305714,4166,305714,4166,0.987,0.013,0.000
3,293050.000,16830.000,0.000,,,293050,16830,293050,16830,0.946,0.054,0.000
4,270371.000,39509.000,0.000,,,270371,39509,270371,39509,0.873,0.127,0.000
5,243809.000,66071.000,0.000,,,243809,66071,243809,66071,0.787,0.213,0.000
6,217455.000,92425.000,0.000,,,217455,92425,217455,92425,0.702,0.298,0.000
7,204459.000,105421.000,0.000,,,204459,105421,204459,105421,0.660,0.340,0.000
8,190198.000,119682.000,0.000,,,190198,119682,190198,119682,0.614,0.386,0.000
