ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1463,137,0,0.914,0.086,0.000
2,1534,66,0,0.959,0.041,0.000
3,1463,137,0,0.914,0.086,0.000
4,1481,119,0,0.926,0.074,0.000
5,1523,77,0,0.952,0.048,0.000
