,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5.000,5.000,5.000,5.000,5.000,5.000,5.000
mean,3.000,1492.800,107.200,0.000,0.933,0.067,0.000
std,1.581,33.633,33.633,0.000,0.021,0.021,0.000
min,1.000,1463.000,66.000,0.000,0.914,0.041,0.000
25%,2.000,1463.000,77.000,0.000,0.914,0.048,0.000
50%,3.000,1481.000,119.000,0.000,0.926,0.074,0.000
75%,4.000,1523.000,137.000,0.000,0.952,0.086,0.000
max,5.000,1534.000,137.000,0.000,0.959,0.086,0.000
